date,ticker,posts,channels
2026-07-24,AADI,1,1
2026-07-24,ACES,2,2
2026-07-24,ADMR,2,2
2026-07-24,ADRO,1,1
2026-07-24,AKRA,4,2
2026-07-24,AMMN,8,2
2026-07-24,ANTM,2,1
2026-07-24,ARTO,1,1
2026-07-24,ASII,1,1
2026-07-24,BBCA,13,2
2026-07-24,BBNI,2,1
2026-07-24,BBRI,5,2
2026-07-24,BBTN,2,1
2026-07-24,BFIN,2,1
2026-07-24,BMRI,13,2
2026-07-24,BRIS,1,1
2026-07-24,BRMS,1,1
2026-07-24,BRPT,1,1
2026-07-24,BUMI,6,2
2026-07-24,CPIN,2,2
2026-07-24,DEWA,10,2
2026-07-24,DOID,1,1
2026-07-24,ELSA,2,1
2026-07-24,ENRG,4,1
2026-07-24,ESSA,4,2
2026-07-24,EXCL,2,1
2026-07-24,GGRM,5,1
2026-07-24,HMSP,4,1
2026-07-24,INDY,2,1
2026-07-24,ISAT,2,1
2026-07-24,JPFA,1,1
2026-07-24,KLBF,1,1
2026-07-24,MBMA,2,1
2026-07-24,MDKA,2,2
2026-07-24,MEDC,8,2
2026-07-24,PGEO,1,1
2026-07-24,SMGR,2,2
2026-07-24,SSIA,1,1
2026-07-24,TINS,2,2
2026-07-24,TLKM,2,1
2026-07-24,TPIA,3,1
2026-07-24,UNTR,1,1
